,Name,File Name,Generated Smiles,Correct Smiles
79,dy-704,dy-704.PNG,COc1cc(C)c(cc1S(=O)(=O)[O-])/C(=C/C(=C)/C=C/C=C\1/N(CCCS(=O)(=O)[O-])c2c(C1(C)CCCC(=O)O)cc(cc2)S(=O)(=O)[O-])/c1ccc(cc1[OH2+])N(CC)CC,COc1cc(C)c(cc1S(=O)(=O)[O-])/C(=C/C(=C)/C=C/C=C\1/N(CCCS(=O)(=O)[O-])c2c(C1(C)CCCC(=O)O)cc(cc2)S(=O)(=O)[O-])/c1ccc(cc1[OH2+])N(CC)CC.[Na+].[Na+]
80,dy-705,dy-705.PNG,CCCC(c1ccc2c(c1)[o+]c(c(c2c1cccc(c1)S=O)C)/C=C/C=C\1/N(CCCCCC(=O)O)c2c(C1(C)C)cc(cc2)S(=O)(=O)[O-])CC,CCCN(CC)c5ccc4c(c1cccc(S(=O)(=O)[O-])c1)c(C)c(/C=C/C=C\3N(CCCCCC(=O)O)c2ccc(S(=O)(=O)[O-])cc2C3(C)C)[o+]c4c5
81,dy-706,dy-706.PNG,CCN(c1ccc2c(c1)[o+]c(c(c2c1cccc(c1)S(=O)(=O)[O-])C)/C=C/C=C\1/N(CCCS(=O)(=O)[O-])c2c(C1(C)CCCC(=O)O)cc(cc2)S(=O)(=O)[O-])CC,CCN(c1ccc2c(c1)[o+]c(c(c2c1cccc(c1)S(=O)(=O)[O-])C)/C=C/C=C\1/N(CCCS(=O)(=O)[O-])c2c(C1(C)CCCC(=O)O)cc(cc2)S(=O)(=O)[O-])CC.[Na+].[Na+]
82,dy-720,dy-720.PNG,CCN(c1ccc2c(c1)[OH+]C1C(=C2c2ccccc2C(=O)N(CCS(O)(O)*)C)CCC/C/1=C\C=C/1\N(CCCCCC(=O)O)c2c(C1(C)C)cc(cc2)*(O)(*)[O-])CC,CCN(CC)c6ccc5C(c1ccccc1C(=O)N(C)CCS(=O)(=O)[O-])=C4CCC/C(=C\C=C/3N(CCCCCC(=O)O)c2ccc(S(=O)(=O)[O-])cc2C3(C)C)C4[OH+]c5c6
83,dy-730,dy-730.PNG,CCN(c1ccc2c(c1)[OH+]C(C=C2/C=C/C=C/C=C/1\N(CCCCCC(=O)O)c2c(C1(C)C)cc(cc2)S(=O)(=O)[O-])C(C)(C)C)CC,CCN(CC)c4ccc3c(/C=C/C=C/C=C/2N(CCCCCC(=O)O)c1ccc(S(=O)(=O)[O-])cc1C2(C)C)cc(C(C)(C)C)[o+]c3c4
84,dy-731,dy-731.PNG,CCN(c1ccc2c(c1)[o+]c(cc2/C=C/C=C/C=C/1\N(CCC[I](=O)(O)[O-])C2C(C1(C)CCCC(=*)O)C=C(C=C2)S(=O)(=O)[O-])C(C)(C)C)CC,CCN(CC)c4ccc3c(/C=C/C=C/C=C/2N(CCCS(=O)(=O)[O-])C1C=CC(S(=O)(=O)[O-])=CC1C2(C)CCCC(=O)O)cc(C(C)(C)C)[o+]c3c4
85,dy-732,dy-732.PNG,O[IH]C(CCCC1/C(=C\C=C\CCC2=CC([OH+]c3c2ccc(c3)N(CCCS(=O)(O)[O-])CC)C(C)(C)C)/C(C2=C1C=C[C]1(=C2)C([C]1(=O)[O-])O)(C)CCCC(=O)O)[O-],CCN(CCCS(=O)(=O)[O-])c4ccc3c(/C=C/C=C/C=C/2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(=O)O)cc(C(C)(C)C)[o+]c3c4.[Na+].[Na+]
86,dy-734,dy-734.PNG,*C(=N)CCCC1(C)c2cc(ccc2N(/C/1=C\C=C\C=C\C(=C\*C(C)(C)C)\c1ccc(cc1[O-])C(CCC*(=N)(O)[O-])CCC[C](=O)(=O)(C)C)CCC[C](=C)(I)*)S(=O)(=N)[O-],CC(C)(C)c4cc(/C=C/C=C/C=C/2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(=O)O)c3ccc(N(CCCS(=O)(=O)[O-])CCCS(=O)(=O)[O-])cc3[o+]4.[Na+].[Na+].[Na+]
87,dy-736,dy-736.PNG,[O-]S(=O)(=O)c1ccc2c(c1)C(C)(CCCC(=O)O)/C(=C/C=C/C=C/C1=CC([OH+]c3c1cc1CCCN4c1c3CCC4)C(C)(C)C)/N2CCCS(=O)(=O)[O-],CC(C)(C)c6cc(/C=C/C=C/C=C/2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(=O)O)c5cc3CCCN4CCCc(c34)c5[o+]6.[Na+]
88,dy-747P1,dy-747P1.PNG,COCCNc1ccc(cc1C(C(/C=C/C=C/C=C/C=C\1/N(CCCCCC(=O)O)c2c(C1(C)C)cc(cc2)S(=O)(=O)[O-])I)(C)C)S(=O)(=O)[O-],COCCNc1ccc(cc1C(C(/C=C/C=C/C=C/C=C\1/N(CCCCCC(=O)O)c2c(C1(C)C)cc(cc2)S(=O)(=O)[O-])I)(C)C)S(=O)(=O)[O-].[Na+]
89,dy-749P1,dy-749P1.PNG,COCC[N+]1=C(/C=C/C=C/C=C/C=C\2/N(CCCCCC(O)C)c3c(C2(C)CCCS(=O)(=O)[O-])cc(cc3)S=O)C(c2c1ccc(c2)S(=O)(=O)[O-])(C)CCCS(=O)(=O)[O-],COCC[N+]4=C(/C=C/C=C/C=C/C=C\2N(CCCCCC(=O)O)c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCS(=O)(=O)[O-])C(C)(CCCS(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])ccc34.[Na+].[Na+].[Na+]
90,dy-750,dy-750.PNG,CCN1c2cc3[o+]c(cc(c3cc2C(=CC1(C)C)C)/C=C/C=C/C=C/1\N(CCCCCC(=O)O)c2c(C1(C)C)cc(cc2)S(=O)(=O)[O-])C(C)(C)C,CCN5c4cc3[o+]c(C(C)(C)C)cc(/C=C/C=C/C=C/2N(CCCCCC(=O)O)c1ccc(S(=O)(=O)[O-])cc1C2(C)C)c3cc4C(C)=CC5(C)C
91,dy-751,dy-751.PNG,C=[O]C(=O)CCCC1(C)/C(=C/C=C/C=C/c2cc([o]c3c2cc2C(=CC(N(c2c3)CC)(C)C)C)C(C)(C)C)/N(c2c1cc(cc2)[S-](=O)(O)[O-])CCC[C](=O)(O)O,CCN5c4cc3[o+]c(C(C)(C)C)cc(/C=C/C=C/C=C/2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(=O)O)c3cc4C(C)=CC5(C)C.[Na+]
92,dy-752,dy-752.PNG,CCS(=O)(CCCC1c2ccc(cc2C(/C/1=C/C=C/C=C/C(=C/*C(C)(C)C)/c1cc2C(=CC(N(c2cc1[O+2])CCCS(=O)(=O)[O-])(C)C)C)(C)CCCC(O)O)*(O)[O-])C,CC4=CC(C)(C)N(CCCS(=O)(=O)[O-])c5cc3[o+]c(C(C)(C)C)cc(/C=C/C=C/C=C/2N(CCCS(=O)(=O)[O-])c1ccc(S(=O)(=O)[O-])cc1C2(C)CCCC(O)O)c3cc45.[Na+].[Na+].[Na+]
